Contestant,Total score,Jury score,Televoting score,Ukraine,Italy,Latvia,Netherlands,Malta,Moldova,Ireland,San Marino,Azerbaijan,Austria,France,Finland,Belgium,Germany,Portugal,Croatia,Estonia,Armenia,Poland,Romania,Iceland,Serbia,Cyprus,Norway,Switzerland,Australia,Denmark,Spain,Israel,Sweden,Georgia,Czechia,Slovenia,Greece,Albania,Lithuania,United Kingdom
Austria,120,104,16,,,,1,1,,,6,,,10,2,12,2,,,,2,,,8,6,10,,7,6,7,,6,,,,3,7,,8,
Portugal,59,43,16,,,,5,3,8,,,,,5,3,,,,1,,,,,,,,,,2,,6,,,,,,10,,,
Switzerland,92,61,31,,4,,6,6,,,,4,4,3,10,,,2,,,,2,,,,2,2,,,,,,6,,,1,2,7,,
Poland,93,12,81,6,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,2,,,,,,,,
Serbia,30,14,16,,1,,,,,,,,,,,,3,4,4,,,,,1,,,,,,,,,,,,,1,,,
France,104,54,50,,,,3,,,5,,,,,7,1,,,,,7,,,,4,,,,,6,5,,10,,,,,,6,
Cyprus,126,68,58,,,6,,5,4,,,,2,,1,,,,,,5,10,6,,,,7,,3,5,,1,1,3,,,4,4,1,
Spain,100,95,5,,,8,7,,3,,2,7,,,,6,7,10,6,2,6,,,3,3,6,1,3,4,,,,,,3,2,,1,,5
Sweden,583,340,243,12,8,10,12,12,12,12,4,10,10,6,12,8,12,5,10,12,10,7,10,7,5,12,10,6,7,12,12,12,,4,10,7,6,12,12,12
Albania,76,17,59,,,,,,1,,,8,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,
Italy,350,176,174,2,,3,,10,10,,12,6,12,2,6,7,4,,12,5,,6,12,,2,5,6,8,1,,10,,7,8,4,12,,2,,2
Estonia,168,146,22,5,6,12,,,7,,10,1,,,,,10,8,3,,,8,8,,,,,10,8,,7,5,2,5,2,10,,8,5,6
Finland,526,150,376,,,,10,8,,8,,3,8,8,,5,,,7,10,8,,,10,7,3,12,,5,8,1,8,12,1,5,,,,3,
Czech Republic,129,94,35,7,7,,8,,,3,,,5,4,8,3,5,7,,,,,,6,1,1,4,12,,,,4,3,,,6,,,,
Australia,151,130,21,8,,,,,5,4,5,5,,,,4,8,12,,8,,4,3,12,,8,5,2,,2,,,,2,7,4,5,3,4,10
Belgium,182,127,55,,2,2,4,,,10,7,,3,,5,,,6,,6,,5,2,5,,,,,12,3,4,3,,12,,5,12,5,7,7
Armenia,122,69,53,,5,1,,,2,6,,,1,7,,,,,,3,,1,,,,4,,5,,,3,,,10,8,,,10,,3
Moldova,96,20,76,,,,,,,,3,,,,,,,,2,,,,7,,,,8,,,,,,,,,,,,,
Ukraine,243,54,189,,10,4,,,6,,,2,,1,,,,,,7,3,,,,,,,,,,,7,,,12,,,,2,
Norway,268,52,216,,,,,2,,,1,,,,,,6,1,,,4,,,4,,,,4,,10,2,10,8,,,,,,,
Germany,18,3,15,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,
Lithuania,127,81,46,10,3,7,,4,,1,8,,7,,,,1,,,1,,3,,,,,,,10,4,,,,6,,8,,,,8
Israel,362,177,185,1,12,5,2,7,,7,,12,,12,,10,,,8,4,12,12,4,,10,7,3,1,,,8,,5,7,,,8,6,10,4
Slovenia,78,33,45,3,,,,,,,,,6,,,,,,5,,,,,,12,,,,,,,,,,6,,,,,1
Croatia,123,11,112,,,,,,,,,,,,,,,3,,,,,,,8,,,,,,,,,,,,,,,
United Kingdom,24,15,9,4,,,,,,2,,,,,4,,,,,,,,,,,,,,,1,,,4,,,,,,,
